image_path;A1;A2;A3;A4;A5
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/129. Parang Barong Seling Parang Mancawarni_2.JPG;The image shows a piece of batik cloth with intricate patterns. The patterns consist of various shapes and objects, including elongated forms with black and white designs, and small square motifs in brown.;The shapes and objects on the motif include elongated forms with black and white designs, and small square motifs in brown.;The colors used in the image are white, black, brown, and possibly other shades depending on the actual fabric.;The motif on the image features a complex pattern of elongated shapes and small square motifs in brown, creating a visually striking design.;"""Create a batik cloth with intricate patterns featuring elongated shapes and small square motifs in brown, using white and black designs."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/13. Parang klitik Gapit Seling Kerton Rinengga_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features geometric shapes, zigzag lines, and floral motifs. The colors are primarily brown and white, with some black accents.;The shape and objects in the motif include zigzag lines, triangles, squares, and floral patterns. There are also heart shapes and small dots scattered throughout the design.;Brown, white, black;A detailed batik cloth with geometric and floral patterns in brown and white.;"""Create a piece of batik fabric featuring intricate geometric designs, zigzag lines, and floral motifs in shades of brown and white, with occasional black accents."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/13. Parang klitik Gapit Seling Kerton Rinengga_2.JPG;The image shows a piece of batik cloth with intricate patterns. The design features geometric shapes, floral motifs, and heart symbols in various colors.;The shapes and objects in the motif include geometric patterns, floral designs, and heart shapes.;Brown, beige, black, white;A detailed batik cloth with geometric and floral patterns featuring hearts.;"""Create a piece of batik fabric with a rich brown background, adorned with intricate geometric patterns, delicate floral designs, and heart-shaped motifs in beige and black."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/131. Parang Keris_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features a combination of geometric shapes, floral motifs, and abstract forms, all arranged in a symmetrical pattern.;"The shapes and objects in the motif include: Geometric shapes (squares, rectangles), Floral motifs (flowers, leaves), Abstract forms (curves, swirls)";"The colors used in the image are: Brown, Black, White";The motif on the image is a detailed and symmetrical batik design featuring geometric and floral elements.;"""Create a piece of batik cloth with a symmetrical pattern consisting of geometric shapes, floral motifs, and abstract forms, using brown, black, and white colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/131. Parang Keris_2.JPG;The image shows a piece of batik cloth with intricate patterns. The design features a combination of geometric shapes, floral motifs, and abstract forms, all outlined in brown and filled with various shades of brown and black.;"The shape and objects in the motif include: Geometric shapes (squares, rectangles), Floral motifs (flowers, leaves), Abstract forms (curves, swirls)";"The colors used in the image are: Brown, black, white";The motif on the image is a detailed batik pattern featuring geometric shapes, floral elements, and abstract designs in brown and black on a white background.;"""Create a digital artwork of a traditional batik cloth with a complex pattern of geometric shapes, floral motifs, and abstract forms, using a color palette of brown, black, and white."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/132. Parang Curiga Kesit_1.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features wavy lines and geometric shapes, including squares and rectangles, arranged in a repetitive manner.;The shape and objects in the motif include wavy lines, rectangular shapes, and squares.;Brown;A detailed batik cloth pattern featuring wavy lines and geometric shapes in brown.;"""Create a batik cloth design with wavy lines and geometric shapes, using brown as the primary color."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/132. Parang Curiga Kesit_2.JPG;The image shows a close-up of batik cloth with intricate patterns. The design features wavy lines and geometric shapes, often seen in traditional batik designs.;The shape and objects in the motif include wavy lines, rectangular shapes, and circular patterns.;The colors used in the image are brown and white.;The motif on the image is a traditional batik pattern with wavy lines and geometric shapes.;"""Create a detailed batik cloth design featuring wavy lines, rectangular shapes, and circular patterns in shades of brown and white."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/133. Parang Curiga_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features wavy lines and geometric shapes, creating a complex and visually striking pattern.;The motif on the batik cloth consists of wavy lines, zigzag patterns, and geometric shapes. These elements are arranged in a repetitive manner to form a cohesive design.;The colors used in the image include brown and white.;The image depicts a detailed batik cloth with a combination of wavy lines and geometric shapes, showcasing a rich and intricate design.;"""Create a batik cloth with a complex pattern featuring wavy lines, zigzag patterns, and geometric shapes, using a combination of brown and white colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/133. Parang Curiga_2.JPG;The image shows a close-up view of batik cloth with intricate patterns. The design features wavy lines and geometric shapes, creating a complex and detailed pattern.;The shape and objects in the motif include wavy lines, zigzag patterns, and geometric shapes. These elements are arranged in a repetitive manner to form the overall design.;The colors used in the image are brown and white.;The motif on the image is a detailed and intricate batik design featuring wavy lines and geometric shapes.;"""Create a close-up image of batik cloth with a complex pattern consisting of wavy lines, zigzag patterns, and geometric shapes, using a combination of brown and white colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/134. Parang Curiga_1.JPG;The image shows a piece of batik cloth with a repeating pattern consisting of vertical lines and geometric shapes.;The shape and objects in the motif include vertical lines, rectangular shapes, and some decorative elements around the edges.;The colors used in the image are white, brown, and red.;The motif features a repetitive pattern of vertical lines and geometric shapes, creating a visually striking design.;"""Create a piece of batik cloth with a repeating pattern of vertical lines and geometric shapes, using white, brown, and red colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/134. Parang Curiga_2.JPG;The image shows a piece of batik cloth with a repeating pattern of vertical lines and geometric shapes. The background is light-colored, and the patterns are outlined in dark brown.;The shape and objects in the motif include vertical lines, rectangular shapes, and some intricate designs within the rectangles.;Brown;A close-up of a batik cloth featuring a repetitive pattern of vertical lines and geometric shapes in brown on a light background.;"""Create a detailed batik cloth design with vertical lines and geometric shapes, using a light background and dark brown outlines."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/135. Parang Peniti_1.JPG;The image shows a piece of batik cloth with a complex pattern. The background consists of elongated, wavy lines in shades of brown and beige, interspersed with circular shapes in blue and black.;The shape and objects in the motif include elongated, wavy lines forming a grid-like structure, and circular shapes filled with smaller dots.;Brown, beige, blue, black;A batik cloth with a pattern of wavy lines and circular shapes in blue and black.;"""Create a batik cloth design featuring elongated, wavy lines in shades of brown and beige, with circular shapes filled with smaller dots in blue and black."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/135. Parang Peniti_2.JPG;The image shows a piece of batik cloth with a complex pattern consisting of elongated shapes and circular motifs. The elongated shapes are brown and white, while the circular motifs are blue with a white center.;The shape in the motif consists of elongated, wavy lines that form a grid-like structure. The object within these shapes is a circular pattern with a blue outer ring and a white center.;Brown, white, blue;A batik cloth with a grid-like pattern of elongated shapes and circular motifs in brown, white, and blue.;"""Create a batik cloth with a grid-like pattern of elongated brown and white shapes intersected by circular blue motifs with white centers."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/136. Klitik Slimpet Banji_1.JPG;The image shows a close-up view of batik cloth with a repeating geometric pattern. The design features interlocking shapes and lines in a symmetrical arrangement.;The shape and objects in the motif include interlocking zigzag lines, rectangles, and triangles.;The colors used in the image are brown, beige, and black.;The motif on the image is a traditional geometric pattern found in batik textiles.;"""Create a digital artwork featuring a symmetrical geometric pattern with interlocking shapes and lines in shades of brown, beige, and black, reminiscent of traditional batik designs."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/136. Klitik Slimpet Banji_2.JPG;The image shows a piece of batik cloth with a repeating geometric pattern. The design features interlocking shapes and lines in a symmetrical arrangement.;The motif consists of interlocking geometric shapes, including L-shapes and zigzag patterns.;Brown, beige, black;A detailed batik cloth with a complex geometric pattern featuring interlocking shapes and lines.;"""Create a batik cloth with a symmetrical geometric pattern consisting of interlocking L-shapes and zigzag lines, using a combination of brown, beige, and black colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/138. Klitik Kesit Slimpet_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features geometric shapes, floral motifs, and abstract forms in various colors.;The shapes and objects in the motif include geometric shapes like triangles, squares, and circles, as well as floral elements such as flowers and leaves.;The colors used in the image are white, brown, black, and beige.;The motif on the image is a complex and detailed batik pattern with geometric and floral designs.;"""Create a detailed batik fabric with a mix of geometric shapes, floral motifs, and abstract forms in shades of white, brown, black, and beige."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/138. Klitik Kesit Slimpet_2.JPG;The image shows a piece of batik cloth with intricate patterns. The design features geometric shapes, floral motifs, and abstract forms in a repetitive pattern.;The shapes and objects in the motif include geometric shapes like triangles, squares, and circles, as well as stylized floral elements and abstract forms.;The colors used in the image are brown, white, and black.;The motif on the image is a complex, geometrically patterned batik design with floral and abstract elements.;"""Create a detailed batik fabric with a rich brown background, featuring a repeating pattern of white and black geometric shapes and stylized floral designs."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/14. Parang Baris_1.JPG;The image shows a piece of batik cloth with a complex geometric pattern. The design features interlocking shapes and repetitive motifs, creating a visually striking and intricate design.;The shape and objects in the motif include interlocking geometric shapes, possibly resembling stylized leaves or abstract forms, arranged in a repeating pattern.;The colors used in the image are brown, white, black, and red.;The motif on the image is a detailed and repetitive geometric pattern with interlocking shapes in brown, white, black, and red.;"""Create a piece of batik cloth featuring a complex geometric pattern with interlocking shapes in brown, white, black, and red."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/14. Parang Baris_2.JPG;The image shows a piece of batik cloth with a complex geometric pattern. The design features repetitive shapes and motifs, including stylized lines and abstract forms, arranged in a grid-like structure.;The shapes in the motif include elongated, wavy lines, geometric squares, and circular patterns. These elements are interconnected by thin, black lines forming a network throughout the fabric.;The colors used in the image are brown, white, black, and red.;The motif on the image is a detailed, intricate geometric pattern with a repetitive design featuring wavy lines and geometric shapes.;"""Create a piece of batik cloth with a complex geometric pattern featuring elongated, wavy lines, geometric squares, and circular patterns, arranged in a grid-like structure, using brown, white, black, and red colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/15. Parang Kusuma_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features a combination of geometric shapes and floral motifs, with a dark background and lighter, more detailed patterns in various shades of brown and beige.;"The shape and objects in the motif include: Geometric shapes such as squares, rectangles, and circles, Floral elements like leaves and flowers. Abstract patterns that resemble waves or flowing lines.";"The colors used in the image are: Dark brown, Light beige,Dark red";The motif on the image is a complex batik pattern featuring geometric and floral designs on a dark background.;"""Create a detailed batik fabric with a mix of geometric shapes and floral motifs, using a dark brown background and light beige and dark red accents."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/15. Parang Kusuma_2.JPG;The image shows a piece of batik cloth with intricate patterns. The design features a combination of geometric shapes and abstract forms, predominantly in shades of brown, black, and white.;The motif includes various geometric shapes such as squares, rectangles, and irregular polygons. There are also abstract forms that resemble leaves or floral patterns.;Brown, black, white;A detailed batik cloth with a complex geometric and abstract pattern in brown, black, and white.;"""Create a close-up image of a batik cloth featuring a rich, intricate design with geometric shapes and abstract forms in shades of brown, black, and white."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/16. Parang Klitik Seling Golang-Galing_1.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features wavy lines and dots in various shades of brown and beige, creating a textured and visually appealing pattern.;The shapes in the motif include wavy lines and small dots arranged in a repetitive pattern.;Brown, beige, black;A detailed batik cloth with wavy lines and dot patterns in earthy tones.;Create a digital artwork featuring a rich, earthy-toned batik cloth with wavy lines and small dots arranged in a repetitive pattern, using Adobe Photoshop or GIMP.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/16. Parang Klitik Seling Golang-Galing_2.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features wavy lines and geometric shapes in shades of brown, beige, and black.;The shape and objects in the motif include wavy lines, zigzag patterns, and small dots arranged in a repetitive manner.;Brown, beige, black;A detailed batik cloth with wavy lines and geometric patterns in earthy tones.;"""Create a piece of batik fabric featuring wavy lines, zigzag patterns, and small dots arranged in a repetitive manner, using shades of brown, beige, and black."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/17. Parang Baris Solo_1.JPG;The image shows a close-up of batik cloth with intricate patterns. The design features various shapes and objects, including arrows, hands, and geometric shapes.;"The shapes and objects in the motif include: Arrows, Hands, Geometric shapes";The colors used in the image are brown and black.;The motif on the image is a detailed batik pattern featuring arrows, hands, and geometric shapes.;"""Create a batik fabric with a complex design featuring arrows, hands, and geometric shapes, using a combination of brown and black colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/17. Parang Baris Solo_2.JPG;The image shows a close-up of batik cloth with intricate patterns. The design features geometric shapes, floral motifs, and abstract forms, all rendered in a monochromatic brown color against a light background.;"The shapes and objects in the motif include: Geometric squares, Curved lines, Floral designs, Abstract forms";Brown, white;A detailed batik cloth featuring geometric and floral patterns in brown on a light background.;"""Create a batik cloth design with intricate geometric shapes, floral motifs, and abstract forms, rendered in a monochromatic brown color against a light background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/19. Parang Sawut Solo_1.JPG;The image depicts a piece of batik cloth featuring a repeating pattern of abstract shapes and lines. The background consists of small square patterns in shades of brown, while the main motif includes elongated, curved forms in a light beige or cream color.;The shape and objects in the motif include elongated, curved forms that resemble stylized leaves or abstract organic shapes, connected by thin black lines.;Brown, beige/cream;A batik cloth with a repeating pattern of abstract, leaf-like shapes in beige against a brown background.;"""Create a batik cloth design featuring elongated, curved beige shapes connected by thin black lines on a brown background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/19. Parang Sawut Solo_2.JPG;The image shows a piece of batik cloth with a repeating pattern of abstract human figures. The figures are stylized and appear to be walking or standing in a grid-like formation.;The shapes in the motif include simplified human figures with elongated bodies, arms, and legs. They are depicted in a cartoonish style with minimal detail.;The colors used in the image are primarily brown, black, and white.;The motif features a repetitive pattern of stylized human figures in a grid-like arrangement.;"""Create a batik cloth design featuring simplified, cartoon-style human figures in a grid-like pattern, using a color palette of brown, black, and white."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/2. Parang Gendreh Seling Nitik_1.JPG;The image depicts a piece of batik cloth with intricate patterns. The background features a repeating geometric pattern with small squares and circles, while the foreground shows large, stylized hands with raised fingers, forming exclamation marks.;"The shape and objects in the motif include: Geometric patterns (squares and circles), Large, stylized hands, Raised fingers forming exclamation marks";The colors used in the image are brown and white.;The motif on the image is a stylized representation of hands forming exclamation marks against a geometric background.;"""Create a batik cloth design featuring large, stylized hands with raised fingers forming exclamation marks against a repeating geometric pattern with small squares and circles."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/2. Parang Gendreh Seling Nitik_2.JPG;The image depicts a piece of batik cloth with intricate patterns. The background features a repeating geometric design in shades of brown, while the central motif consists of elongated shapes resembling leaves or feathers, outlined in white against the brown background.;The shape and object in the motif include elongated leaf-like or feather-like shapes, arranged in a symmetrical pattern.;Brown, white;A detailed batik cloth with a central motif of elongated leaf-like shapes set against a geometric background.;"""Create a batik cloth with a central motif of elongated leaf-like shapes, surrounded by a repeating geometric pattern in shades of brown, with the central shapes outlined in white."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/20. Gandasuli Solo_1.JPG;The image shows a close-up of batik cloth with intricate patterns. The design features abstract shapes, geometric patterns, and stylized figures, all rendered in a combination of brown and black colors on a light background.;The motif includes abstract shapes, geometric patterns, and stylized figures. These elements are interconnected by flowing lines and curves, creating a cohesive and dynamic design.;Brown, black;An intricate batik cloth design featuring abstract shapes, geometric patterns, and stylized figures in brown and black on a light background.;"""Create an image of a batik cloth with an intricate design featuring abstract shapes, geometric patterns, and stylized figures in brown and black on a light background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/20. Gandasuli Solo_2.JPG;The image shows a close-up of batik cloth featuring intricate patterns with geometric shapes, floral motifs, and abstract designs. The background is a light beige color, and the patterns are outlined in dark brown.;The shapes and objects in the motif include geometric shapes like squares, circles, and triangles, as well as stylized floral elements and abstract forms.;The colors used in the image are light beige, dark brown, and black.;The motif on the image is an intricate batik design with geometric and floral patterns in dark brown on a light beige background.;"""Create a detailed batik fabric with a combination of geometric shapes, floral motifs, and abstract forms, using a light beige background and dark brown outlines."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/21. Lereng tritik Solo_1.JPG;The image shows a piece of batik cloth with intricate patterns. The background is dark blue, and the patterns consist of various shapes and symbols, including circles, squares, and abstract forms.;The shapes and objects in the motif include circles, squares, abstract forms, and possibly stylized letters or characters.;The colors used in the image are dark blue, light blue, beige, and brown.;The motif features a complex pattern of geometric shapes and abstract forms on a dark blue background.;"""Create a detailed batik cloth design featuring dark blue background with intricate patterns of beige and brown circles, squares, and abstract forms."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/21. Lereng tritik Solo_2.JPG;The image shows a piece of batik cloth with a complex and intricate pattern. The background is dark blue, and the main design features light beige or cream-colored shapes that resemble stylized leaves or flowers, surrounded by a border of geometric shapes and symbols.;"The shape and objects in the motif include: Light beige or cream-colored leaf-like or flower-like shapes, Geometric shapes such as squares, circles, and X's, A border with a repeating pattern of these shapes";"The colors used in the image are: Dark blue, Light beige or cream, Brownish-orange";The motif on the image is a detailed and symmetrical batik design featuring stylized leaves or flowers against a dark blue background.;"""Create a piece of batik cloth with a dark blue background and light beige or cream-colored leaf-like or flower-like shapes, surrounded by a border of geometric shapes and symbols."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/22. Udan Liris Seling modang Solo_1.JPG;The image shows a piece of batik cloth with intricate patterns. The background is dark blue, and the main design features orange and white motifs.;The shapes in the motif include stylized figures, possibly mythical creatures or animals, with detailed eyes and mouths. There are also abstract patterns resembling vines or branches.;The colors used in the image are dark blue, orange, and white.;The motif on the image is an intricate batik design featuring dark blue, orange, and white patterns with stylized figures and abstract designs.;"""Create a detailed batik cloth with dark blue background, orange and white motifs including stylized figures and abstract patterns resembling vines or branches."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/22. Udan Liris Seling modang Solo_2.JPG;The image shows a piece of batik cloth with intricate patterns. The background is dark blue, and the main design features orange and white motifs.;The shapes in the motif include stylized leaves, vines, and possibly floral elements. There are also abstract patterns that resemble branches or tendrils.;The colors used in the image are dark blue, orange, and white.;The motif on the image is an intricate batik design featuring orange and white patterns against a dark blue background.;"""Create a detailed batik fabric with a dark blue background and orange and white floral and vine patterns."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/23. Parang Barong Galar Engkol Solo_1.JPG;The image depicts a piece of batik cloth featuring a geometric pattern with abstract shapes and lines. The design includes various shapes like squares, rectangles, and triangles, arranged in a repetitive manner.;The shapes in the motif include squares, rectangles, triangles, and other geometric forms.;The colors used in the image are brown and black.;The motif on the image is a stylized geometric pattern with abstract shapes and lines in brown and black.;"""Create a piece of batik cloth with a geometric pattern featuring squares, rectangles, and triangles in brown and black."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/23. Parang Barong Galar Engkol Solo_2.JPG;The image depicts a piece of batik cloth featuring intricate patterns with geometric shapes and abstract designs. The background consists of wavy lines and square motifs, creating a visually striking and detailed texture.;The shapes and objects in the motif include squares, rectangles, and abstract forms that resemble stylized trees or plants. The design incorporates both linear and curvilinear elements to create a dynamic and harmonious pattern.;The colors used in the image are primarily shades of brown and black, with some white highlights.;The motif on the image is a complex and detailed batik design featuring geometric shapes and abstract forms, rendered in earthy tones.;"""Create a detailed batik cloth with a mix of wavy lines and square motifs, using a combination of brown, black, and white colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/24. Parang Klitik Seling Sarpa Solo_1.JPG;The image shows a close-up view of batik cloth with intricate patterns. The design features a series of parallel lines and zigzag patterns in alternating colors, creating a visually striking and symmetrical pattern.;The shapes and objects in the motif include parallel lines, zigzag patterns, and small dots arranged in a repeating sequence.;The colors used in the image are brown, black, and white.;The motif on the image is a detailed and symmetrical batik pattern with alternating parallel lines and zigzag patterns.;"""Create a batik cloth design featuring alternating parallel lines and zigzag patterns in brown, black, and white."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/24. Parang Klitik Seling Sarpa Solo_2.JPG;The image shows a close-up view of batik cloth with intricate patterns. The design features a series of wavy lines and geometric shapes in various colors.;The shapes in the motif include wavy lines, zigzag patterns, and small geometric shapes arranged in a repetitive manner.;The colors used in the image are brown, black, white, and beige.;The motif on the image is a detailed batik pattern with wavy lines and geometric shapes in earthy tones.;"""Create a batik cloth design featuring wavy lines, zigzag patterns, and small geometric shapes in shades of brown, black, white, and beige."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/26. Parang Baris Seling Gapit Puspa Solo_1.JPG;The image shows a piece of batik cloth with a floral and geometric pattern. The background is dark blue, and the patterns include white flowers, leaves, and geometric shapes in shades of red and orange.;"The shape and objects in the motif include: Flowers (both full and partially open), Leaves (various shapes and sizes), Geometric shapes (rectangles and squares)";"The colors used in the image are: Dark blue, White, Red, Orange";The motif on the image is a vibrant and intricate floral and geometric design on a dark blue background.;"""Create a piece of batik cloth featuring a dark blue background with white flowers, leaves, and geometric shapes in shades of red and orange."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/26. Parang Baris Seling Gapit Puspa Solo_2.JPG;The image shows a piece of batik cloth with intricate patterns. The background is dark blue, and there are floral motifs in white and light brown. The floral designs include large flowers and leaves, arranged in a repeating pattern.;The shapes in the motif include large flowers, leaves, and geometric shapes. The flowers have multiple petals and are surrounded by leaves. The geometric shapes are small squares and rectangles.;The colors used in the image are dark blue, white, light brown, and possibly some shades of red or orange.;The motif on the image is a detailed floral and geometric design on a dark blue background.;"""Create a piece of batik cloth with dark blue background, featuring large white and light brown flowers and leaves, arranged in a repeating pattern."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/27. Parang Klitik Solo_1.JPG;The image shows a piece of batik cloth with a complex geometric pattern. The design features interlocking shapes and lines, creating a visually intricate and repetitive pattern.;The shapes in the motif include straight lines, curved lines, and various geometric forms such as squares, rectangles, and triangles.;The colors used in the image are primarily shades of brown and beige.;The motif on the image is a detailed and intricate geometric pattern with a repetitive design featuring various shapes and lines.;"""Create a piece of batik cloth with a complex geometric pattern consisting of interlocking shapes and lines, using shades of brown and beige."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/27. Parang Klitik Solo_2.JPG;The image shows a piece of batik cloth with a complex geometric pattern. The design features repetitive shapes and lines, creating a visually intricate and symmetrical pattern.;The shapes in the motif include straight lines, curved lines, and small circular patterns. These elements are arranged in a grid-like structure, forming a repetitive and symmetrical design.;The colors used in the image are brown and white.;The motif on the image is a complex geometric pattern with repetitive shapes and lines, creating a visually intricate and symmetrical design.;"""Create a piece of batik cloth with a complex geometric pattern featuring repetitive shapes and lines, arranged in a grid-like structure, using brown and white colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/28. Parang Gendreh Solo_1.JPG;The image depicts a piece of batik cloth with an intricate pattern consisting of abstract shapes and lines in various shades of brown and beige.;The motif features elongated, vertical shapes that resemble stylized trees or columns, arranged in a repetitive grid-like pattern.;Brown, beige, black;A detailed batik cloth with a geometric, tree-like pattern in earthy tones.;Create a digital artwork featuring a repeating pattern of stylized, vertical tree-like shapes in shades of brown and beige, set against a dark background. Use a batik-inspired technique to achieve the textured look.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/28. Parang Gendreh Solo_2.JPG;The image depicts a piece of batik cloth with a complex geometric pattern. The design features repetitive shapes and lines in various shades of brown and beige, creating a textured and intricate appearance.;The motif consists of repeating rectangular shapes, some filled with dots, and others outlined with thin lines. These shapes are arranged in a grid-like pattern, creating a sense of order and symmetry.;Brown, beige, black;A detailed batik cloth with a geometric pattern featuring repeating rectangular shapes and dots.;"""Create a batik cloth with a complex geometric pattern consisting of repeating rectangular shapes filled with dots and outlined with thin lines, arranged in a grid-like pattern, using a mix of brown, beige, and black colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/29. Parang klitik Gapit Seling modang Solo_1.JPG;The image depicts a traditional batik cloth with intricate patterns. The design features elongated, snake-like figures with dark eyes and a series of vertical lines forming a grid-like pattern.;The shapes in the motif include elongated, snake-like figures with dark eyes and a series of vertical lines forming a grid-like pattern.;Black, brown;A traditional batik cloth featuring elongated, snake-like figures with dark eyes and a grid-like pattern.;Create a digital artwork inspired by traditional batik designs, focusing on elongated, snake-like figures with dark eyes and a grid-like pattern, using black and brown colors.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/29. Parang klitik Gapit Seling modang Solo_2.JPG;The image depicts a piece of batik cloth featuring intricate patterns and designs. The background is dark, and the patterns are composed of geometric shapes and abstract forms, with some elements resembling stylized trees or plants.;"The shapes and objects in the motif include: Geometric patterns, Abstract forms, Stylized trees or plants";"The colors used in the image are:, Dark background, Light brown or beige patterns";The motif on the image is an intricate batik design featuring geometric patterns and stylized tree-like forms against a dark background.;"""Create a detailed batik cloth design with dark background and light brown or beige geometric patterns and abstract tree-like forms."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/30. Parang Barong Solo_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features elongated shapes with circular openings and geometric patterns filled with brown and white colors.;The shape in the motif appears to be elongated, resembling vertical lines or columns. The object within these shapes is a series of circular openings.;Brown, white;A detailed batik cloth with elongated shapes and circular openings filled with geometric patterns.;"""Create a piece of batik cloth featuring elongated vertical shapes with circular openings, filled with brown and white geometric patterns."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/30. Parang Barong Solo_2.JPG;The image depicts a piece of batik cloth featuring intricate geometric patterns. The design includes repetitive shapes and symbols, often found in traditional batik art.;The motif in the image consists of repeated square and circular shapes, along with stylized lines and patterns that create a complex and symmetrical design.;Brown, white;A detailed batik cloth with repetitive geometric patterns in brown and white.;Create a digital illustration of a batik cloth featuring intricate geometric patterns with a combination of brown and white colors, using vector graphics software to capture the essence of traditional batik art.
