image_path;A5
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/35 Sekar Dangan A.jpg;"Create an image of a traditional Javanese batik cloth named 'Sekar Dangan.' The motif should feature a dark blue background with lighter blue and beige patterns. The central element of the motif is a square with a stylized floral design, surrounded by various geometric shapes and floral patterns. The overall theme of the motif symbolizes healing and hope for a better future. Incorporate cultural batik descriptions to provide context and depth to the image."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/35 Sekar Dangan B.jpg;"The batik motif ""Sekar Dangan"" is a traditional Javanese design known as ""Dangan."" It is characterized by its intricate patterns and geometric shapes, often incorporating circles, lines, and abstract forms. The motif is believed to symbolize hope for healing or a better future, reflecting the cultural belief in the power of art to bring about positive change. The use of dark blue and light beige colors enhances the visual appeal and adds depth to the design. This batik is not only a beautiful piece of textile art but also holds significant cultural and spiritual importance in Javanese culture."
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/36 Sekar Sawo A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Sawo'. The motif is a circular design with a central floral element, surrounded by interconnected geometric shapes. The central floral design is outlined in light brown against a dark blue background. The motif is inspired by the sawo fruit plant and its flower, symbolizing respect and care for others in society. Incorporate cultural descriptions of the motif, emphasizing the importance of mindfulness and responsibility in daily life."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/36 Sekar Sawo B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Sawo'. The motif is a circular design with a central floral element, surrounded by interconnected lines. The floral element is stylized and simplified, with petals and leaves depicted in light brown. The background is dark blue, and the motif is accented with small white dots representing stars or dots, adding a celestial touch to the design. Incorporate the cultural description of the motif, which serves as a reminder that people should not live their lives arbitrarily but must also consider others, especially those who may be older or smarter, and to pay attention to their own well-being in society."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/37 Manggar A.jpg;"Create an image of a batik fabric featuring the motif 'Manggar,' which represents the petals of coconut flowers (Cocos nucifera). The motif consists of elongated series of petals, small rounded shapes resembling petals, and larger, more defined shapes that resemble the elongated series of petals. The background should be dark blue, and the motifs should be in a light beige or tan color. The motif symbolizes mutual loyalty in life, making it a culturally significant design. Incorporate the cultural description of the motif, emphasizing its symbolism and the traditional use of batik in Southeast Asian cultures."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/37 Manggar B.jpg;"Create an image of a batik fabric with the following details: - **Motif Name:** Manggar - **Description of Motif:** The Manggar motif consists of orange square shapes with rounded corners, resembling pumpkins or squares with handles, set against a dark background. The pattern includes small white dots and lines forming a floral or tree-like design around the orange shapes. - **Cultural Description:** Manggar is the petals of coconut flowers (Cocos nucifera) that form an elongated series. This flower symbolizes mutual loyalty in life."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/38 Sekar Cengkeh A.jpg;"Create an image of a batik cloth named 'Sekar Cengkeh'. The motif should feature clove flowers (Syzygium aromaticum), also known as polong in Javanese culture. These flowers symbolize relief and satisfaction, encouraging individuals to accept what is given by God. The design should include symmetrical floral patterns, geometric shapes resembling bows or knots, small dots and circles, and birds or animal-like figures with beaks and tails. The background should be dark, possibly navy blue, with lighter brown and white elements. Incorporate the cultural description of polong as 'relieved/satisfied' and its significance in Javanese culture. Ensure the image captures the essence of the batik motif, including its intricate details and harmonious color palette."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/38 Sekar Cengkeh B.jpg;"Create an image of a batik cloth named 'Sekar Cengkeh'. The motif should feature a combination of floral and geometric patterns, with dark blue as the background color. Include small dots and dots arranged in a specific pattern throughout the design. Use orange, white, and beige colors to create a striking contrast and add elegance to the piece. Incorporate the cultural description of the batik, which states that clove flowers (Syzygium aromaticum) in Javanese are called polong, and polong means relieved/satisfied. Be a human being who must accept what is given by God."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/39 Sritaman A.jpg;"Create an image of a piece of batik fabric featuring the motif 'Sritaman'. The motif is a stylized flower with a central stem, surrounded by smaller floral patterns and dots. The background is dark blue, and the flowers and leaves are depicted in a golden color. Incorporate the cultural description of 'Sritaman' which means a garden located in the palaces of kings, symbolizing a hope that the wearer will always be wise in all aspects of life. Ensure the image captures the elegance and wisdom conveyed by the motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/39 Sritaman B.jpg;"Create an image of a piece of batik fabric featuring the motif 'Sritaman'. The motif should depict a large, stylized flower with multiple petals and a central stem, surrounded by smaller floral patterns and white dots. The background should be dark blue, and the flowers and leaves should be in a golden color. Incorporate the cultural description of 'Sritaman' which means a garden located in the palaces of kings, symbolizing a hope that the wearer will always be wise in all aspects of life. Ensure the image captures the elegance and wisdom conveyed by the motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/4 Sekar Gayam A.jpg;"Create an image of a traditional Indonesian batik cloth featuring the ""Sekar Gayam"" motif. The design should include a central floral center with a black dot in the middle, surrounded by white dots and small star-like shapes. The background should be dark blue, and the floral center should be orange. The motif should convey a sense of shade and calmness, symbolizing the serene and peaceful atmosphere created by the Gayam tree. Incorporate cultural elements such as the meaning of 'gayuh' (achieving goals) and 'ayem' (serene and peaceful), and the symbolism of the Gayam tree growing in Yogyakarta during the Islamic Mataram kingdom. Ensure the image is detailed and comprehensive, capturing the essence of the ""Sekar Gayam"" batik motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/4 Sekar Gayam B.jpg;"Create an image of a batik cloth featuring the sekar gayam motif. The design should be symmetrical and centered around a large, orange flower with a black center. Surrounding the flower are smaller white dots and plus signs, connected by geometric shapes such as circles and lines. The background should be dark blue, enhancing the vibrancy of the orange and white elements. Incorporate cultural descriptions of the motif, emphasizing its meaning of achieving goals (gayuh) and serenity (ayem), and how it relates to the Gayam tree, which grows big, produces edible fruits, and provides a refreshing atmosphere. Ensure the image captures the essence of the sekar gayam batik, highlighting its peaceful and purposeful symbolism."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/40 Sekar Mundhu A.jpg;"Create an image of a batik fabric featuring the motif 'Sekar Mundu'. The motif should be inspired by the mundhu plant, symbolizing hope, togetherness, and sharing with the community. The design should include interconnected shapes and symbols such as circles, lines, and dots, arranged in a symmetrical pattern. The background should be dark blue, and the patterns should be light beige. Incorporate cultural descriptions of the batik, emphasizing its symbolism and cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/40 Sekar Mundhu B.jpg;"Create an image of a batik cloth with the motif 'Sekar Mundu'. The motif is inspired by the flower of the mundhu plant (Garcinia dulcis) and symbolizes a hope for blending with the environment, building togetherness, and sharing with the surrounding community. In Javanese culture, 'sekar mundu' is called 'kocok/meped'. The motif features interconnected lines and dots forming a network-like structure, with dark navy blue background and light beige or cream-colored patterns. The design includes various shapes such as circles, arcs, and elongated forms. The overall theme emphasizes unity, tolerance, and community spirit."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/41 Sekar Andhong A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Andong'. The motif should depict the Andong plant's small, white flowers amidst its red and purplish leaves. The background should be dark blue, and the pattern should consist of small, light-colored shapes arranged in a symmetrical design, including dots, lines, and geometric forms such as squares and triangles. Incorporate cultural batik descriptions to highlight the beauty and significance of the motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/41 Sekar Andhong B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Andong'. The motif should consist of small, white floral shapes surrounded by delicate, interconnected lines and dots, set against a dark background. The floral shapes should be reminiscent of the Andong plant's small, white flowers, while the connecting lines and dots should evoke the beauty of the plant's red and purplish leaves. Incorporate cultural descriptions of the Andong plant and its decorative use in house yards, emphasizing the harmony between the white flowers and the dark background. Ensure the image captures the essence of the motif's intricate design and cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/42 Gedhangan A.jpg;"Create an image of a batik cloth featuring the Gendhangan motif. The motif consists of interconnected lines and dots forming a network-like structure. The background should be dark blue, and the lines and dots should be light beige. Incorporate the cultural description of Gendhangan, which is a symbol of the human will to keep something secret, often used to store important or sacred objects such as amulets. Ensure the image captures the intricate details of the pattern and the contrast between the dark blue background and the light beige lines and dots."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/42 Gedhangan B.jpg;"Create an image of a batik cloth featuring the Gendhangan motif. The motif consists of interconnected lines and dots forming a network-like structure. The background should be dark blue, and the lines and dots should be light beige. Incorporate the cultural description of Gendhangan, which is a symbol of the human will to keep something secret, often used to store important or sacred objects such as amulets. Ensure the image captures the intricate details of the pattern and the contrast between the dark blue background and the light beige lines and dots."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/43 Sekar Pala A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Pala'. The motif is inspired by the shape of nutmeg flowers, which have fragrant seeds containing compounds that can calm the mind. The design includes various geometric shapes such as squares, circles, and lines, forming a symmetrical and intricate pattern. The background color is dark blue, and the design elements are in light beige. Incorporate the cultural description that this motif represents a hope for a calm and peaceful life while remaining alert to all possibilities, and serves as a reminder not to be careless in life."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/43 Sekar Pala B.jpg;"Create an image of a batik fabric featuring the motif 'Sekar Pala'. The motif is inspired by the shape of nutmeg flowers, which have fragrant seeds and compounds that can calm the mind. The central element of the motif resembles a nutmeg fruit, with its characteristic star-shaped petals and small, round seeds. Surrounding this central motif are various geometric shapes such as squares, circles, and lines, creating a visually appealing and harmonious design. The background color is dark blue, and the patterns and shapes are in light beige. Incorporate the cultural description of the batik, which suggests that the motif represents a hope for a calm and peaceful life while remaining alert to all possibilities that may occur, or a warning that humans should not be careless in life."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/44 Klampok Arum A.jpg;"Create an image of a traditional batik fabric with a dark blue background. The design should feature interconnected geometric shapes such as squares, rectangles, and circles, all outlined in light beige or cream. Small, round, orange dots with white centers should be interspersed among these shapes. The motif should symbolize the hope for good fortune and happiness, reflecting cultural beliefs about planting Klampok Arum guava, which is believed to bring good luck and respect. The overall effect should be intricate and visually appealing, characteristic of traditional batik art."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/44 Klampok Arum B.jpg;"Create an image of a batik cloth featuring the motif 'Klampok Arum'. The motif should depict a large, ornate flower at the center, surrounded by smaller flowers and geometric shapes. The background should be dark blue, with beige and brown accents. Incorporate the cultural description of Klampok Arum, which is a guava variety known for its sweet taste and fragrant aroma. In Javanese society, planting Klampok Arum is believed to bring good fortune and respect. The motif symbolizes the hope that the wearer will always get a good name and happiness."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/45 Sekar Jali A.jpg;"Create an image of a batik fabric featuring a central motif inspired by the Coix lacryma-jobi L (jali) flower. The motif should include a stylized flower with five petals, surrounded by smaller geometric shapes and dots. The background should be dark blue, and the colors used should be light beige or tan and gold or orange. Incorporate the cultural significance of the motif, which symbolizes beneficial life, derived from the jali plant's properties when cooked."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/45 Sekar Jali B.jpg;"Create an image of a batik cloth named 'Sekar Jali'. The motif is inspired by the shape of the Coix lacryma-jobi L. flower, which is a grass that produces a filling when cooked. The batik features light beige geometric shapes and stylized flowers on a dark blue background. The motifs are arranged in a symmetrical pattern, creating a visually appealing and harmonious composition. Incorporate cultural batik descriptions to highlight the symbolism of beneficial life and the importance of symmetry and balance in the design."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/46 Sekar Lintang A.jpg;"Create an image of a batik cloth featuring a tree motif. The tree should have a central trunk and multiple branches extending outward, symbolizing strength and stability. The background should be dark blue, and the tree should be composed of light beige dots arranged in a pattern resembling leaves and branches. The tree represents a great human who is like a star and useful for others. The motif is named 'Sekar Lintang,' and it is inspired by the concept of stars, where the flower of a star is a ray, meaning being a great human who is useful for others."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/46 Sekar Lintang B.jpg;"Create an image of a batik cloth featuring a tree motif. The tree should have a central trunk and multiple branches extending outward, with light beige dots arranged in a pattern resembling leaves and branches. The background should be dark blue. The tree symbolizes strength and stability, representing a great human who is useful to others. The motif is named 'Sekar Lintang,' and it is inspired by the concept of stars, where the flower of a star is a ray, meaning a person who is like a star and beneficial to others."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/47 Sekar Kenanga A.jpg;"Create an image of a batik cloth named 'Sekar Kenanga'. The motif should feature a central orange flower with a blue center, surrounded by smaller floral elements and geometric shapes. The background should be dark blue, and the design should be symmetrical and intricate. Incorporate the cultural significance of the Kenanga flower, which is used in rituals due to its distinctive fragrance and represents respect for ancestors. The image should highlight the traditional batik patterns and techniques, showcasing the vibrant colors and detailed craftsmanship."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/47 Sekar Kenanga B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Kenanga'. The motif consists of a central geometric cross-like shape with radiating lines, surrounded by circular patterns with dots and stylized floral designs. The background is dark blue or navy, with accents of brown, beige, and orange. Incorporate the cultural significance of the Kenanga (Cananga odorata) flower, which is used in rituals due to its distinctive fragrance and symbolic meaning of respecting ancestors through good deeds."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/48 Sekar Jeruk A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Jeruk' (Citrus) from Javanese culture. The motif consists of alternating rows of small, light-colored dots arranged in a grid-like formation against a dark background. The dots are connected by curved lines forming a series of interconnected shapes, creating a visually appealing and intricate design. The motif symbolizes caution and awareness, encouraging individuals to walk slowly and carefully to avoid harm or danger. Incorporate the cultural description of the motif, emphasizing the importance of walking slowly and being mindful of one's actions to respect others' rights and avoid usurping them. The image should be detailed and comprehensive, capturing the essence of the batik motif and its cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/48 Sekar Jeruk B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Jeruk' (Citrus) from Javanese culture. The motif consists of alternating rows of small, light-colored dots arranged in a grid-like formation against a dark background. The dots are connected by curved lines forming a series of interconnected shapes, creating a visually appealing and intricate design. The motif symbolizes caution and awareness, encouraging individuals to walk slowly and carefully to avoid harm or danger. Incorporate the cultural description of the motif, emphasizing the importance of walking slowly and being mindful of one's actions to respect others' rights and avoid usurping them. The image should be detailed and comprehensive, capturing the essence of the batik motif and its cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/49 Sekar Mindi A.jpg;"Create an image of a batik cloth featuring a floral motif with a central flower surrounded by three leaf-like shapes on either side. The central flower has a petal-like structure with a small circular center. The background is dark blue, and the flowers and leaves are in shades of orange and yellow. Incorporate the cultural description of the motif, which is inspired by the tree Mindi, where the shape of the flower was taken as an idea to make a nitik motif. Mindi (Melia azedarach) is a tree whose trunk is useful for life, so this motif expects the wearer to always do something useful for others."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/49 Sekar Mindi B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Mindi'. The motif should be a yellow flower with a black center, surrounded by a white lattice pattern. The background should be dark blue, and the edges of the motif should be bordered by orange and white geometric shapes. Incorporate the cultural description that the shape of the flower was taken as an idea to make a nitik motif, where Mindi (Melia azedarach) is a tree whose trunk is useful for life, expecting the wearer to always do something useful for others."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/5 Sekar Pacar A.jpg;"Create an image of a batik fabric featuring the motif 'Sekar Pacar'. The motif consists of small, yellowish-orange flowers with a central dot, surrounded by elongated, vertical lines. The flowers are arranged in a repetitive pattern, creating a visually appealing and intricate design. The background is dark blue, and there are small, white, circular patterns interspersed throughout the design. The motif has a cultural significance, representing the idea that people must try to be useful for others, similar to how henna flowers are used in various Hindu rituals. The image should capture the essence of the batik's intricate design and cultural importance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/5 Sekar Pacar B.jpg;"Create an image of a batik fabric featuring the motif 'Sekar Pacar'. The motif consists of small, yellowish-orange flowers with a central dot, arranged in a grid-like pattern against a dark blue background. The elongated, vertical lines add a sense of depth and movement. Incorporate cultural elements such as the meaning of 'Sekar Pacar' (people must try to be useful for others), the use of henna flowers in Hindu rituals, and the significance of the flowers being small, yellow, and fragrant. Ensure the image captures the intricate details and vibrant colors of the batik pattern."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/50 Tanjung Gunung A.jpg;"Create an image of a batik cloth featuring the Tanjung Gunung motif. The design should include large, stylized flowers with long, pointed petals in shades of white and beige, set against a dark blue background. Small white dots should be scattered throughout the pattern. The central part of the design should feature a geometric shape with a square in the middle, surrounded by floral elements. Incorporate the cultural description of Tanjung Gunung, which symbolizes hope for happiness and honor, and a good name both in the present and future. The motif should be inspired by the tanjung plant, which has fragrant flowers and provides shade."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/50 Tanjung Gunung B.jpg;"Create an image of a batik cloth featuring the Tanjung Gunung motif. The design should include large, stylized flowers with long, pointed petals in shades of white and beige, set against a dark blue background. Small white dots should be scattered throughout the pattern. The central part of the design should feature a geometric shape with a square in the middle, surrounded by floral elements. Incorporate the cultural description of Tanjung Gunung, which symbolizes hope for happiness and honor, and a good name both in the present and the future. The motif should be inspired by the tanjung plant, which has fragrant flowers and provides shade."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/51 Sekar Kenikir A.jpg;"Create an image of a batik cloth featuring a kenikir flower motif. The motif should be symmetrical and repetitive, with the kenikir flower at the center surrounded by geometric shapes in light beige against a dark blue background. The kenikir flower represents the health benefits of the kenikir plant, and the geometric shapes symbolize useful activities expected to benefit the wearer. Incorporate cultural batik descriptions to enhance the visual appeal and cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/51 Sekar Kenikir B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Kenikir'. The motif is inspired by the kenikir flower, which is known for its health benefits, including warding off various diseases. The design includes a symmetrical, geometric pattern with white and gold elements, resembling the shape and structure of a kenikir flower. The background is dark blue, and the motif is centered around the concept of useful activities that are always expected to happen to the wearer, symbolizing the health benefits of kenikir flowers and leaves. Incorporate cultural batik descriptions to enhance the visual appeal and cultural significance of the motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/52 Sekar Blimbing A.jpg;"Create an image of a batik cloth named 'Sekar Blimbing'. The motif features star-shaped flowers resembling star fruits (Averrhoa carambola), arranged in a geometric pattern against a dark blue background. The flowers are white with orange centers, and the overall design aims to radiate goodness. Incorporate cultural elements such as the traditional use of batik in Southeast Asian cultures, where it symbolizes beauty, elegance, and spiritual harmony."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/52 Sekar Blimbing B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Blimbing'. The motif should be inspired by the shape of star fruits (Averrhoa carambola), with each flower resembling a five-pointed star with small, round fruit-like structures at the ends of each point. The background should be dark blue, and the flowers should be depicted in light beige or cream color. Incorporate cultural batik descriptions, such as the idea of radiating goodness through the symmetrical and repetitive pattern, and the use of gold or orange accents to add elegance and contrast. Ensure the image captures the essence of the batik's cultural significance and artistic beauty."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/53 Sekar Pijetan A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Pijetan'. The motif consists of elongated ovals with dotted lines and small white dots forming intricate patterns around them. The background is dark blue, and the central motif is surrounded by geometric shapes and floral elements. The motif represents a hope that the wearer can maintain a balance of life to achieve a calm and happy life. Incorporate cultural batik descriptions to enhance the visual appeal and cultural significance of the motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/53 Sekar Pijetan B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Pijetan'. The motif consists of elongated ovals with dotted lines and small white dots forming intricate patterns around them. The background is dark blue, and the central motif is surrounded by geometric shapes and floral elements. The motif represents a hope that the wearer can maintain a balance of life to achieve a calm and happy life. Incorporate cultural batik descriptions to enhance the visual appeal and cultural significance of the design."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/54 Sari Mulat A.jpg;"Create an image of a batik cloth featuring the motif 'Sarimulat'. The motif is characterized by its intricate geometric design, consisting of squares, rectangles, and diamond shapes, arranged in a symmetrical pattern. The background is dark blue, and the pattern elements are outlined in light beige or tan. The design conveys a message of introspection, symbolizing the importance of self-reflection in human behavior. Incorporate cultural batik descriptions, emphasizing the essence of the sari and the introspective nature of the mulat motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/54 Sari Mulat B.jpg;"Create an image of a batik cloth featuring the motif 'Sarimulat'. The motif is characterized by its intricate geometric pattern with interconnected lines forming various shapes and symmetrical designs. The background is dark blue, and the design elements are outlined in light beige or tan. The central circular element with a plus sign adds a focal point to the overall design. Sarimulat is the essence, while mulat means introspective in Javanese. A piece of cloth with this motif can convey a message that being a human must always have introspective behavior."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/55 Sekar Mrica A.jpg;"Create an image of a batik cloth named 'Sekar Mrica'. The motif consists of geometric shapes such as triangles, circles, and zigzag lines, arranged in a symmetrical pattern. The background is dark blue, and the inner sections of the motifs are filled with a lighter shade of blue. The outer outlines are white, creating a striking contrast. The cultural description of the batik suggests that all experiences in life, whether sweet or spicy, must be faced to enrich our experience. The image should capture the essence of the batik's intricate design and its symbolic meaning."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/55 Sekar Mrica B.jpg;"Create an image of a batik cloth named 'Sekar Mrica'. The motif features a large star-like shape surrounded by smaller triangles and dots, all outlined in light orange against a dark blue background. The design is symmetrical and repetitive, creating a visually appealing and harmonious pattern. Incorporate the cultural description that all experiences in life, both sweet and spicy, must be faced to enrich our experience. Ensure the image captures the essence of the batik's meaning and cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/56 Sekar Kepel A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Kepe'. The motif should consist of a central emblem surrounded by radiating lines and floral patterns, with a dark blue background and gold outlines. Incorporate the cultural description of the motif, which indicates the movement of all fingers coming together, symbolizing unity and togetherness. The motif should be detailed and visually appealing, capturing the essence of the batik art form."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/56 Sekar Kepel B.jpg;"Create an image of a batik fabric with the motif 'Sekar Kepe'. The motif consists of a large, symmetrical star or interconnected triangles, surrounded by smaller geometric shapes and floral patterns. The background is dark blue, and the patterns are composed of light beige and gold colors. Incorporate the cultural description of the batik, which indicates the movement of all fingers coming together, symbolizing the spirit of togetherness and unity in carrying out all things. The fruits of a kepel (Stelechocarpus burahol) plant are always attached to the stem, and the word 'kepel' also signifies the movement of all fingers coming together, emphasizing the importance of unity and collaboration."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/57 Truntum Kurung A.jpg;"Create an image of a traditional Javanese batik cloth named 'Truntum Kurung.' The design features elongated, teardrop-shaped elements arranged in a circular pattern, symbolizing star lights. The background is dark blue, and the shapes are outlined in white with a lighter shade filling them. Small, circular dots with concentric circles around them add to the complexity of the design. Incorporate the cultural description that the word 'tumaruntum' means to pass down to the next generation, and the shape of the truntum depicts star lights, signifying noble life being passed on through a bright light."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/57 Truntum Kurung B.jpg;"Create an image of a batik cloth named 'Truntum Kurung'. The motif should feature a central star-like pattern with radiating lines, surrounded by geometric shapes and dots. The background should be dark blue, and the patterns should be outlined in orange, with white and beige accents. Incorporate the cultural description of the batik, where 'tumaruntum' means to pass down to the next generation, and the shape of the truntum depicts star lights, symbolizing noble life being passed on to the next generation."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/58 Jayakusuma A.jpg;"Create an image of a batik cloth featuring the motif 'Jayakusuma'. The motif should depict a stylized, golden-colored leaf or flower with multiple petals or branches extending outward, set against a dark blue background with white dots resembling snowflakes or stars. The motif represents Jaya Kusuma, one of Arjuna's sons in the Mahabharata epic, who is known for his obedience and respect. The design should be intricate and elegant, emphasizing symmetry and balance. Incorporate cultural batik descriptions to highlight the symbolism of obedience and respect."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/58 Jayakusuma B.jpg;"Create an image of a batik cloth featuring the motif 'Jayakusuma' from the Mahabharata epic. The motif represents Jaya Kusuma, one of Arjuna's sons who is obedient and respected. The design consists of dark blue leaves with a central stem and radiating lines forming a star-like pattern, surrounded by orange flowers. Small white dots are scattered throughout the design, adding texture and contrast. Incorporate cultural batik descriptions to highlight the symbolism of obedience and respect in carrying out the attitude of elders."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/59 Rengganis A.jpg;The image is a detailed depiction of the Rengganis batik motif, which is a beautiful female character from the Menak epic. The motif features a combination of geometric shapes and floral designs, arranged in a symmetrical and repetitive manner. The dark blue background contrasts beautifully with the light beige or cream-colored design elements, creating a visually striking and intricate pattern. This batik design symbolizes a good step in defending the truth, representing the character Rengganis. The intricate details and symmetrical arrangement of the shapes and floral patterns add to the overall elegance and beauty of the motif, making it a captivating piece of traditional Indonesian batik art.
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/59 Rengganis B.jpg;"Create an image of a batik cloth featuring the motif 'Rengganis' from the Menak epic. The motif is a beautiful female character, symbolizing a good step in defending the truth. The background is dark blue, and the design includes light beige geometric shapes and floral patterns. There are also some curved lines that add to the complexity of the pattern. Incorporate cultural batik descriptions to provide context and depth to the image."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/6 Arumdalu A.jpg;"Create an image of a batik cloth featuring the motif 'Arumdalu'. The motif consists of a dark blue background with a central diamond surrounded by smaller rectangles and dots, arranged in a symmetrical and nested pattern. The design is geometric and repetitive, with a focus on balance and repetition. Incorporate the cultural description of Sekar Arum Dalu, which states that the flower blooms at night and spreads its fragrance, symbolizing the importance of doing good deeds for the community, regardless of differences. The image should convey a sense of wisdom and harmony, reflecting the cultural significance of the motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/6 Arumdalu B.jpg;"Create an image of a batik cloth named 'Arumdalu'. The motif consists of a dark blue background with intricate geometric patterns, including diamonds, squares, elongated rectangles, small circles, and triangles, all outlined in light beige or cream colors. The central motif features a diamond shape surrounded by smaller geometric elements, creating a visually appealing and symmetrical design. Incorporate the cultural description of Sekar Arum Dalu (Cestrum nocturnum), which states that the flower blooms at night and spreads its fragrance, symbolizing the importance of doing good deeds for the community, regardless of differences. The batik should reflect these themes through its design and color scheme."""
